epoch,accuracy,learning_rate,loss,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.6208333373069763,0.0010000000474974513,1.551653265953064,0.8634999990463257,0.6166666746139526,1.3466695547103882,0.9257575869560242
1,0.7289999723434448,0.0010000000474974513,0.9352644085884094,0.9491666555404663,0.6965035200119019,1.0618082284927368,0.9495338201522827
2,0.7589166760444641,0.0010000000474974513,0.8127053380012512,0.9627500176429749,0.7307692170143127,0.9444241523742676,0.9601398706436157
3,0.7717499732971191,0.0010000000474974513,0.7580599784851074,0.9678333401679993,0.7356643080711365,0.9378871321678162,0.9600232839584351
4,0.7848333120346069,0.0010000000474974513,0.7132083177566528,0.9698333144187927,0.7421911358833313,0.9420169591903687,0.9620046615600586
5,0.7950833439826965,0.0010000000474974513,0.6775045394897461,0.9749166369438171,0.7458041906356812,0.8913649320602417,0.9659673571586609
6,0.8015833497047424,0.0010000000474974513,0.6482157111167908,0.9774166941642761,0.7519813776016235,0.8777846693992615,0.965268075466156
7,0.8013333082199097,0.0010000000474974513,0.6383890509605408,0.9770833253860474,0.7595571279525757,0.8521102666854858,0.9653846025466919
8,0.812833309173584,0.0010000000474974513,0.6049039959907532,0.9793333411216736,0.7699300646781921,0.834515392780304,0.967599093914032
9,0.8194166421890259,0.0010000000474974513,0.5904068350791931,0.9794166684150696,0.7756410241127014,0.8046280145645142,0.9707459211349487
10,0.8224999904632568,0.0010000000474974513,0.5684444308280945,0.981166660785675,0.7728438377380371,0.8188687562942505,0.9672493934631348
11,0.8233333230018616,0.0010000000474974513,0.5768060088157654,0.9795833230018616,0.7692307829856873,0.8539235591888428,0.9678321480751038
12,0.8320000171661377,0.0010000000474974513,0.5395922064781189,0.9852499961853027,0.7651515007019043,0.8545080423355103,0.9662004709243774
13,0.8343333601951599,0.0005000000237487257,0.5231494903564453,0.9835833311080933,0.800000011920929,0.716623842716217,0.973543107509613
14,0.8475000262260437,0.0005000000237487257,0.4768102765083313,0.987583339214325,0.8022144436836243,0.7192366719245911,0.9724941849708557
15,0.8519166707992554,0.0005000000237487257,0.4704577922821045,0.9870833158493042,0.8041958212852478,0.7031983733177185,0.9738927483558655
16,0.8556666374206543,0.0005000000237487257,0.44604578614234924,0.9888333082199097,0.7949883341789246,0.7411913871765137,0.9709790349006653
17,0.8586666584014893,0.0005000000237487257,0.4349660575389862,0.9884999990463257,0.8026806712150574,0.7048611640930176,0.9745920896530151
18,0.862500011920929,0.0005000000237487257,0.4150049090385437,0.9927499890327454,0.7962703704833984,0.737331748008728,0.9724941849708557
19,0.8575833439826965,0.0002500000118743628,0.425324022769928,0.9899166822433472,0.8124708533287048,0.6698257327079773,0.9756410121917725
